,Candidate,Party,Votes,Constituency
2008,ASHOK SEVATKAR,Bahujan Samaj Party,1596,Madhya Pradesh - CHOURAI
2009,PRASHANT SHARMA,Aam Aadmi Party,1549,Madhya Pradesh - CHOURAI
2010,ANIL JAIN @ GULLU SETH,Sapaks Party,1479,Madhya Pradesh - CHOURAI
2011,RAVISHANKAR,Independent,922,Madhya Pradesh - CHOURAI
2012,RATAN DHURVE,Independent,725,Madhya Pradesh - CHOURAI
2013,MADANLAL BADIWA,Independent,485,Madhya Pradesh - CHOURAI
2014,NANHO VERMA,Independent,410,Madhya Pradesh - CHOURAI
2015,DADUAA UIKEY,Independent,276,Madhya Pradesh - CHOURAI
2016,None of the Above,None of the Above,2331,Madhya Pradesh - CHOURAI
2017,VIJAY REVNATH CHORE,Indian National Congress,86700,Madhya Pradesh - SAUSAR
2018,NANABHAU MOHOD,Bharatiya Janata Party,66228,Madhya Pradesh - SAUSAR
2019,ANIL GURVE,Bahujan Samaj Party,2596,Madhya Pradesh - SAUSAR
2020,PRAVEEN LEELADHAR BALANG,Independent,2325,Madhya Pradesh - SAUSAR
2021,KAWDETI RAMESHWAR,Gondvana Gantantra Party,1892,Madhya Pradesh - SAUSAR
2022,MATIN MUSTAK KHAN,Independent,1766,Madhya Pradesh - SAUSAR
2023,KESHAWRAO CHARPE,Rashtriya Aamjan Party,1116,Madhya Pradesh - SAUSAR
2024,SUKHRAM TEKAM,Independent,1110,Madhya Pradesh - SAUSAR
2025,YOUVARAJ VISHWNATH BHUTANGE,Independent,1051,Madhya Pradesh - SAUSAR
2026,DHARMENDRA SAHU,Independent,660,Madhya Pradesh - SAUSAR
2027,SHAMRAV JHADANE,Independent,620,Madhya Pradesh - SAUSAR
2028,GAJANAN MADKE,Independent,520,Madhya Pradesh - SAUSAR
2029,GOPAL KOTHE,Aam Aadmi Party,506,Madhya Pradesh - SAUSAR
2030,CHARANSING VITHATHALSING PARMAR (THAKUR),Independent,480,Madhya Pradesh - SAUSAR
2031,GAJJU GHORSE-RAJENDRA GHORSE,Independent,399,Madhya Pradesh - SAUSAR
2032,RAVIKANT KAPASE,Shiv Sena,274,Madhya Pradesh - SAUSAR
2033,VIJAY GHATOD,Bahujan Mukti Party,250,Madhya Pradesh - SAUSAR
2034,SANDIP DONGRE,Independent,219,Madhya Pradesh - SAUSAR
2035,DILIP BAGDE,Bahujan Sangharshh Dal,160,Madhya Pradesh - SAUSAR
2036,FOGAL BANSOD,Republican Party of India (A),154,Madhya Pradesh - SAUSAR
2037,None of the Above,None of the Above,577,Madhya Pradesh - SAUSAR
2038,DEEPAK SAXENA,Indian National Congress,104034,Madhya Pradesh - CHHINDWARA
2039,CHOUDHARY CHANDRABHAN SINGH KUBER SINGH,Bharatiya Janata Party,89487,Madhya Pradesh - CHHINDWARA
2040,SANTOSH SURYAWANSHI,Independent,2326,Madhya Pradesh - CHHINDWARA
2041,KU. PUSHPA DEVI MASRAM,Gondvana Gantantra Party,2211,Madhya Pradesh - CHHINDWARA
2042,PURUSHOTTAM MANDRAHA,Bahujan Samaj Party,1714,Madhya Pradesh - CHHINDWARA
2043,ANIMESH PANDEY,Aam Aadmi Party,864,Madhya Pradesh - CHHINDWARA
2044,SUBHASH,Independent,773,Madhya Pradesh - CHHINDWARA
2045,RAMKRISHNAN NAG,Independent,317,Madhya Pradesh - CHHINDWARA
2046,RAVISHANKAR SINGH THAKUR,Independent,310,Madhya Pradesh - CHHINDWARA
2047,DEEPAMALA NATH,Rashtriya Aamjan Party,271,Madhya Pradesh - CHHINDWARA
2048,AYUSHMAN KAPIL  SONI,Independent,266,Madhya Pradesh - CHHINDWARA
2049,DINESH KUMAR RAJPUT,Sapaks Party,236,Madhya Pradesh - CHHINDWARA
2050,ASHISH PANDEY,Shiv Sena,234,Madhya Pradesh - CHHINDWARA
2051,"""PATRAKAR""  RAJESH TANTRIK",Ahinsa Samaj Party,159,Madhya Pradesh - CHHINDWARA
2052,PRABHU KRIPASHANKAR,Sarvadharam Party (Madhya Pradesh),122,Madhya Pradesh - CHHINDWARA
2053,None of the Above,None of the Above,2800,Madhya Pradesh - CHHINDWARA
2054,SOHANLAL BALMIK,Indian National Congress,79553,Madhya Pradesh - PARASIYA 
2055,TARACHAND BAWARIA,Bharatiya Janata Party,66819,Madhya Pradesh - PARASIYA 
2056,SATISH NAGWANSHI,Gondvana Gantantra Party,4717,Madhya Pradesh - PARASIYA 
2057,DURGA BAI AMRAWANSHI,Aam Aadmi Party,2232,Madhya Pradesh - PARASIYA 
2058,TULSIDAS MAHALGAVAIYA,Independent,2187,Madhya Pradesh - PARASIYA 
2059,GOVIND PRASAD BARKHANIA,Bahujan Samaj Party,2135,Madhya Pradesh - PARASIYA 
2060,SANTOSH DEHARIYA,Independent,1714,Madhya Pradesh - PARASIYA 
2061,AJAY KUMAR MADKE,Independent,954,Madhya Pradesh - PARASIYA 
2062,RAVISHANKAR BELWANSHI MOTHAR,Sanjhi Virasat Party,599,Madhya Pradesh - PARASIYA 
2063,SHAKUN NANDEKAR,Rashtriya Aamjan Party,482,Madhya Pradesh - PARASIYA 
2064,None of the Above,None of the Above,3186,Madhya Pradesh - PARASIYA 
2065,NILESH PUSARAM UIKEY,Indian National Congress,80125,Madhya Pradesh - PANDHURNA
2066,TIKARAM KORACHI,Bharatiya Janata Party,58776,Madhya Pradesh - PANDHURNA
2067,JITENDRA UIKEY,Independent,6593,Madhya Pradesh - PANDHURNA
2068,MADANLAL BATTI,Gondvana Gantantra Party,4230,Madhya Pradesh - PANDHURNA
2069,JAGDISH UIKEY,Bahujan Samaj Party,3139,Madhya Pradesh - PANDHURNA
2070,RAMRAO KAVDETI,Independent,2615,Madhya Pradesh - PANDHURNA
2071,SHUBHASH KUMRE,Independent,1998,Madhya Pradesh - PANDHURNA
2072,ARVIND MASRAM,Aam Aadmi Party,1985,Madhya Pradesh - PANDHURNA
2073,DADA RAMRAO UIKEY,Independent,1234,Madhya Pradesh - PANDHURNA
2074,BHAGAN LAL VANRAJ,Independent,885,Madhya Pradesh - PANDHURNA
2075,PRAVEEN DHURVE,Shiv Sena,535,Madhya Pradesh - PANDHURNA
2076,None of the Above,None of the Above,4224,Madhya Pradesh - PANDHURNA
2077,SUKHDEV PANSE,Indian National Congress,88219,Madhya Pradesh - MULTAI
2078,RAJA PAWAR,Bharatiya Janata Party,70969,Madhya Pradesh - MULTAI
2079,JAGDISH SAHU,Bahujan Samaj Party,2636,Madhya Pradesh - MULTAI
2080,SANJU SALAM,Independent,1746,Madhya Pradesh - MULTAI
2081,KISHOR CHOURASIYA,Gondvana Gantantra Party,1578,Madhya Pradesh - MULTAI
2082,JAGDISH DODKE,Samajwadi Party,1539,Madhya Pradesh - MULTAI
2083,GYANESHWAR KOSE,Independent,1269,Madhya Pradesh - MULTAI
2084,TULSIDAS PATEL,Independent,752,Madhya Pradesh - MULTAI
2085,KU. RUPALI,Independent,741,Madhya Pradesh - MULTAI
2086,ANIRUDDH GURUJI,Independent,277,Madhya Pradesh - MULTAI
2087,UTTAMCHAND KHAKRE,Independent,276,Madhya Pradesh - MULTAI
2088,None of the Above,None of the Above,1916,Madhya Pradesh - MULTAI
2089,DR. YOGESH PANDAGRE,Bharatiya Janata Party,73481,Madhya Pradesh - AMLA
2090,MANOJ MALVE,Indian National Congress,54284,Madhya Pradesh - AMLA
2091,RAKESH MAHALE (ADV),Gondvana Gantantra Party,15827,Madhya Pradesh - AMLA
2092,PRABHU MASTAKAR,Bahujan Samaj Party,2916,Madhya Pradesh - AMLA
2093,MANOJ DEHARIYA,Independent,2391,Madhya Pradesh - AMLA
2094,DR. SURESH BHUMARKAR,Aam Aadmi Party,1454,Madhya Pradesh - AMLA
2095,SADARAM JHARBADE,Independent,1444,Madhya Pradesh - AMLA
2096,SANTOSH KAROSIYA,Independent,1404,Madhya Pradesh - AMLA
2097,MANOJ BIHARE,Independent,1067,Madhya Pradesh - AMLA
2098,NAMDEO URFE AAKASH BINJHARE,Independent,448,Madhya Pradesh - AMLA
2099,SANDEEP MANKAR,Republican Party of India (A),443,Madhya Pradesh - AMLA
2100,PANJABRAO SOLANKI,Independent,421,Madhya Pradesh - AMLA
2101,AAKESH MOHABE,Independent,324,Madhya Pradesh - AMLA
2102,None of the Above,None of the Above,3081,Madhya Pradesh - AMLA
2103,NILAY VINOD DAGA,Indian National Congress,96717,Madhya Pradesh - BETUL
2104,HEMANT VIJAY KHANDELWAL,Bharatiya Janata Party,75072,Madhya Pradesh - BETUL
2105,LATA-RAJU MHASKI,Sapaks Party,3916,Madhya Pradesh - BETUL
2106,RAKESH CHOUKIKAR,Bahujan Samaj Party,2296,Madhya Pradesh - BETUL
2107,RAJU CHARPE,Independent,1321,Madhya Pradesh - BETUL
2108,AJAY,Aam Aadmi Party,1004,Madhya Pradesh - BETUL
2109,REKHA GALFAT,Independent,862,Madhya Pradesh - BETUL
2110,KALLUSINGH UIKEY,Gondvana Gantantra Party,850,Madhya Pradesh - BETUL
2111,RAJ RANE,Independent,486,Madhya Pradesh - BETUL
2112,GULABCHAND MAYWAD,Independent,353,Madhya Pradesh - BETUL
2113,AAZAD CHANDRA SHEKHER PANDOLE SAMAJ SEVAK,Independent,228,Madhya Pradesh - BETUL
2114,ASHOK KUMAR SONI,Independent,139,Madhya Pradesh - BETUL
2115,KANHAIYA YADAV,Independent,126,Madhya Pradesh - BETUL
2116,None of the Above,None of the Above,4635,Madhya Pradesh - BETUL
2117,BRAMHA BHALAVI,Indian National Congress,92106,Madhya Pradesh - GHODADONGRI
2118,GEETA RAMJILAL UIKEY,Bharatiya Janata Party,74179,Madhya Pradesh - GHODADONGRI
2119,KAUSHAL PARTE,Gondvana Gantantra Party,8305,Madhya Pradesh - GHODADONGRI
2120,PRATAP SINGH UIKE,Samajwadi Party,3962,Madhya Pradesh - GHODADONGRI
2121,ASHOK BHALAVI,Bahujan Samaj Party,3331,Madhya Pradesh - GHODADONGRI
2122,SHYAMLAL BETE,Independent,2498,Madhya Pradesh - GHODADONGRI
2123,SHRIMATI MANGEETABAI UIKAY,Independent,2243,Madhya Pradesh - GHODADONGRI
2124,DURGA TUKDU SINGH DHURVE,Independent,1185,Madhya Pradesh - GHODADONGRI
2125,KAMALSINGH MARSKOLE,Independent,1078,Madhya Pradesh - GHODADONGRI
2126,KALLUSINH KUMRE,Independent,708,Madhya Pradesh - GHODADONGRI
2127,SUNIL VARKADE,Aam Aadmi Party,698,Madhya Pradesh - GHODADONGRI
2128,ASHISH PARTE,Independent,454,Madhya Pradesh - GHODADONGRI
2129,None of the Above,None of the Above,5542,Madhya Pradesh - GHODADONGRI
2130,DHARMU SINGH SIRSAM,Indian National Congress,104592,Madhya Pradesh - BHAINSDEHI
2131,MAHENDRA SINGH CHOUHAN,Bharatiya Janata Party,73712,Madhya Pradesh - BHAINSDEHI
2132,SEVARAM EWANEY,Gondvana Gantantra Party,5693,Madhya Pradesh - BHAINSDEHI
2133,NARBADI UIKEY,Bahujan Samaj Party,3128,Madhya Pradesh - BHAINSDEHI
2134,RANGILAL MESHRAM,Bahujan Mukti Party,2410,Madhya Pradesh - BHAINSDEHI
2135,YOGENDRA SINGH CHOUHAN,Independent,1951,Madhya Pradesh - BHAINSDEHI
2136,SUNIL KAWDE,Aam Aadmi Party,1315,Madhya Pradesh - BHAINSDEHI
2137,None of the Above,None of the Above,7948,Madhya Pradesh - BHAINSDEHI
2138,"SANJAY SHAH ""MAKRAI""",Bharatiya Janata Party,64033,Madhya Pradesh - TIMARNI
2139,ABHIJEET SHAH (MAKDAI),Indian National Congress,61820,Madhya Pradesh - TIMARNI
2140,NANDKISHOR BETE AMAKHAL,Gondvana Gantantra Party,5722,Madhya Pradesh - TIMARNI
2141,BHAGIRATH EVANE,Bahujan Samaj Party,1799,Madhya Pradesh - TIMARNI
2142,NANAKRAM,Independent,1590,Madhya Pradesh - TIMARNI
2143,MANGEELAL-KAJLE,Independent,1240,Madhya Pradesh - TIMARNI
2144,DR. RAMESH CHANDAR BHILALA,Aam Aadmi Party,808,Madhya Pradesh - TIMARNI
2145,RAHUL BHILALA,Shiv Sena,720,Madhya Pradesh - TIMARNI
2146,None of the Above,None of the Above,4084,Madhya Pradesh - TIMARNI
2147,KAMAL PATEL,Bharatiya Janata Party,85651,Madhya Pradesh - HARDA  
2148,DR. RAMKISHORE DOGNE,Indian National Congress,78984,Madhya Pradesh - HARDA  
2149,VINOD PARTE,Gondvana Gantantra Party,1459,Madhya Pradesh - HARDA  
2150,PREM GANNORE,Bahujan Samaj Party,1436,Madhya Pradesh - HARDA  
2151,YOGITA DUDHWAL,Independent,1168,Madhya Pradesh - HARDA  
2152,BASEEM MUSTUFA KHAN,Rashtriya Samanta Dal,861,Madhya Pradesh - HARDA  
2153,MO. SHAMIM. KAJI,Independent,671,Madhya Pradesh - HARDA  
2154,DEVKISHAN SARAF,Independent,450,Madhya Pradesh - HARDA  
2155,HARISH. CHANDRA. VISHWARI (GUPTA),Aam Aadmi Party,347,Madhya Pradesh - HARDA  
2156,KAMAL PATEL,Independent,234,Madhya Pradesh - HARDA  
2157,SURES,Bhartiya Panchyat Party,224,Madhya Pradesh - HARDA  
2158,KAMAL,Independent,187,Madhya Pradesh - HARDA  
2159,None of the Above,None of the Above,3110,Madhya Pradesh - HARDA  
2160,PREMSHANKER KUNJILAL VERMA (BAGHWADA),Bharatiya Janata Party,88022,Madhya Pradesh - SEONI MALWA
2161,OMPRAKASH HAZARILAL RAGHUWANSHI,Indian National Congress,76418,Madhya Pradesh - SEONI MALWA
2162,LAXMAN SINGH PARTE,Gondvana Gantantra Party,9682,Madhya Pradesh - SEONI MALWA
2163,RAM MOHAN GOUR (PATEL),Independent,2091,Madhya Pradesh - SEONI MALWA
2164,MEGHRAJ GULDAR HARIYALE,Bahujan Samaj Party,1796,Madhya Pradesh - SEONI MALWA
2165,RAJSHRI D/O SHANKAR SINGH,Aam Aadmi Party,1764,Madhya Pradesh - SEONI MALWA
2166,FAGRAM,Samajwadi Jan Parishad,1545,Madhya Pradesh - SEONI MALWA
2167,ENG. BADAMILAL BHAGIRATH UIKEY,Independent,830,Madhya Pradesh - SEONI MALWA
2168,UMASHANKAR CHANDRYAN,Sapaks Party,688,Madhya Pradesh - SEONI MALWA
2169,DEEPAK ASHWARE,Bahujan Sangharshh Dal,633,Madhya Pradesh - SEONI MALWA
2170,BADAMILAL DAUAA KORKU,Independent,451,Madhya Pradesh - SEONI MALWA
2171,GOPAL KRISHN YADUWANSHI,Independent,447,Madhya Pradesh - SEONI MALWA
2172,DINESH KATARE RAJALYA,Ambedkarite Party of India,436,Madhya Pradesh - SEONI MALWA
2173,BHARTIYA NARENDRA RAGHUWANSHI,Naya Bharat Party,275,Madhya Pradesh - SEONI MALWA
2174,None of the Above,None of the Above,3897,Madhya Pradesh - SEONI MALWA
2175,DR.SITASARAN SHARMA,Bharatiya Janata Party,82216,Madhya Pradesh - HOSHANGABAD
2176,SARTAJ SINGH,Indian National Congress,66999,Madhya Pradesh - HOSHANGABAD
2177,JITENDRA SINGH RATHOR,Sapaks Party,1553,Madhya Pradesh - HOSHANGABAD
2178,VINOD LONGRE,Bahujan Samaj Party,1325,Madhya Pradesh - HOSHANGABAD
2179,MUKESH BABU AHIRWAR,Independent,728,Madhya Pradesh - HOSHANGABAD
2180,MANJULATA JAT,Independent,667,Madhya Pradesh - HOSHANGABAD
2181,V.S.AWASTHY(VIDHASHANKAR AWASTHY),Proutist Sarva Samaj,494,Madhya Pradesh - HOSHANGABAD
2182,KINNAR PANCHI DESHMUKH,Akhil Bharat Hindu Mahasabha,441,Madhya Pradesh - HOSHANGABAD
2183,PANDIT DINESH CHATURVEDI SHIKSHAK,Independent,374,Madhya Pradesh - HOSHANGABAD
2184,P.KAILASH SONKIYA,Aam Aadmi Party,274,Madhya Pradesh - HOSHANGABAD
2185,SARJERAO SAHARE(RETIRED DEPUTY COLLECTOR),Bahujan Mukti Party,203,Madhya Pradesh - HOSHANGABAD
2186,KRUSHNA MOHAN PATEL(DAARI PATEL),Independent,161,Madhya Pradesh - HOSHANGABAD
2187,R.P MAGRAIYA,Bahujan Sangharshh Dal,156,Madhya Pradesh - HOSHANGABAD
2188,DHANEERAM (CHATAK),Bhartiya Panchyat Party,125,Madhya Pradesh - HOSHANGABAD
2189,None of the Above,None of the Above,1369,Madhya Pradesh - HOSHANGABAD
2190,VIJAYPAL SINGH,Bharatiya Janata Party,87488,Madhya Pradesh - SOHAGPUR
2191,SATPAL PALIYA,Indian National Congress,76071,Madhya Pradesh - SOHAGPUR
2192,RAMESHWAR PRASAD MAURYA,Gondvana Gantantra Party,4207,Madhya Pradesh - SOHAGPUR
2193,"""SHAVIR SHAH""",Independent,2448,Madhya Pradesh - SOHAGPUR
2194,YASHWANT SINGH MEENA (MOTU BHAI),Bahujan Samaj Party,2256,Madhya Pradesh - SOHAGPUR
2195,THAKUR HEERA LAL,Independent,1886,Madhya Pradesh - SOHAGPUR
2196,MUKESH KUMAR TIWARI URF DILEEP TIWARI,Aam Aadmi Party,1741,Madhya Pradesh - SOHAGPUR
2197,"""RAMESHWAR AHIRWAR""",Independent,823,Madhya Pradesh - SOHAGPUR
2198,JEEVAN SINGH UIKEY,Independent,769,Madhya Pradesh - SOHAGPUR
2199,BHAGWAN SINGH,Independent,615,Madhya Pradesh - SOHAGPUR
2200,BHAGWAN DAS,Independent,398,Madhya Pradesh - SOHAGPUR
2201,THAKUR GANESH SINGH,Independent,323,Madhya Pradesh - SOHAGPUR
2202,DEVENDRA KUMAR,Independent,296,Madhya Pradesh - SOHAGPUR
2203,None of the Above,None of the Above,2618,Madhya Pradesh - SOHAGPUR
2204,THAKURDAS NAGWANSHI,Bharatiya Janata Party,84521,Madhya Pradesh - PIPARIYA
2205,HARISH TULARAM BEMAN (MEHRA),Indian National Congress,66391,Madhya Pradesh - PIPARIYA
2206,NANHELAL ROHAR VANSHKAR,Gondvana Gantantra Party,5353,Madhya Pradesh - PIPARIYA
2207,BRAJESH ARYA,Bahujan Samaj Party,2491,Madhya Pradesh - PIPARIYA
2208,SANJAY KORI,Aam Aadmi Party,2026,Madhya Pradesh - PIPARIYA
2209,KADHORILAL GOLIYA,Republican Party of India (A),1632,Madhya Pradesh - PIPARIYA
2210,SANJAY AHIRWAR,Bahujan Sangharshh Dal,1217,Madhya Pradesh - PIPARIYA
2211,"MAHENDR KUMAR BELWANSHI ""KATIYA""",Independent,929,Madhya Pradesh - PIPARIYA
2212,RAMLAL MEHRA,Akhil Bharat Hindu Mahasabha,751,Madhya Pradesh - PIPARIYA
2213,None of the Above,None of the Above,3842,Madhya Pradesh - PIPARIYA
2214,DEVENDRA SINGH PATEL,Indian National Congress,86441,Madhya Pradesh - UDAIPURA
2215,RAMKISHAN PATEL,Bharatiya Janata Party,78440,Madhya Pradesh - UDAIPURA
2216,HARIBABU DHAKAR,Bahujan Samaj Party,2007,Madhya Pradesh - UDAIPURA
2217,MOHAN SINGH CHOUHAN,Independent,1644,Madhya Pradesh - UDAIPURA
2218,DEVENDRA KUMAR NORIYA (PAPPU BHAIYA) GRAM THALA,Nirbal Indian Shoshit Hamara Aam Dal,1597,Madhya Pradesh - UDAIPURA
2219,NETRAM KAURAV,Independent,1554,Madhya Pradesh - UDAIPURA
2220,BHAKTRAJ RAGHUWANSHI,Aam Aadmi Party,706,Madhya Pradesh - UDAIPURA
2221,KIRAR KALYAN SINGH CHOUDHARY,Independent,552,Madhya Pradesh - UDAIPURA
2222,KAMLESH KUMAR GOUR,Jai Prakash Janata Dal,391,Madhya Pradesh - UDAIPURA
2223,NARENDRA PATEL DHAKAD,All India Democratic Party,307,Madhya Pradesh - UDAIPURA
2224,None of the Above,None of the Above,2973,Madhya Pradesh - UDAIPURA
2225,SURENDRA PATWA,Bharatiya Janata Party,92458,Madhya Pradesh - BHOJPUR
2226,SURESH PACHOURI,Indian National Congress,62972,Madhya Pradesh - BHOJPUR
2227,RAVI DHURVEY,Gondvana Gantantra Party,10772,Madhya Pradesh - BHOJPUR
2228,POHAP SINGH CHOUDHRY,Bahujan Samaj Party,1642,Madhya Pradesh - BHOJPUR
2229,ARPIT SHRIVASTAVA,Aam Aadmi Party,1406,Madhya Pradesh - BHOJPUR
2230,MAN SINGH RAGHUWANSHI,Independent,1002,Madhya Pradesh - BHOJPUR
2231,PAPPU SINGH,Independent,869,Madhya Pradesh - BHOJPUR
2232,KU. SEEMA SHARMA,Sapaks Party,457,Madhya Pradesh - BHOJPUR
2233,MANOJ MEENA,Jai Lok Party,450,Madhya Pradesh - BHOJPUR
2234,ANIL MANDLOI,Independent,434,Madhya Pradesh - BHOJPUR
2235,DR. DHARMENDRA AHIRWAR,Bahujan Sangharshh Dal,399,Madhya Pradesh - BHOJPUR
2236,RAVINDRA KUMAR SAHU,All India Democratic Party,381,Madhya Pradesh - BHOJPUR
2237,None of the Above,None of the Above,1848,Madhya Pradesh - BHOJPUR
2238,DR. PRABHURAM CHOUDHARY,Indian National Congress,89567,Madhya Pradesh - SANCHI (SC)
2239,MUDIT SHEJWAR,Bharatiya Janata Party,78754,Madhya Pradesh - SANCHI (SC)
2240,RAJENDRA KUMAR (RAJJU BHAIYA),Independent,1483,Madhya Pradesh - SANCHI (SC)
2241,SMT. SHIV KUMARI,Bahujan Samaj Party,1029,Madhya Pradesh - SANCHI (SC)
2242,MANOHAR LAL MEHRA,Independent,882,Madhya Pradesh - SANCHI (SC)
2243,DEEWAN SINGH MALVIYA,Shiv Sena,763,Madhya Pradesh - SANCHI (SC)
2244,MR. ARUN KUMAR,Independent,436,Madhya Pradesh - SANCHI (SC)
2245,ANITA SWARAJ,Sapaks Party,420,Madhya Pradesh - SANCHI (SC)
2246,CHHAGAN LAL RAJAK,Independent,279,Madhya Pradesh - SANCHI (SC)
2247,PRAMODA KUMAR BELDAR,Aam Aadmi Party,187,Madhya Pradesh - SANCHI (SC)
2248,"""MUNNA"" ARJUN SINGH",Independent,179,Madhya Pradesh - SANCHI (SC)
2249,KOMAL SINGH DHAPLIWALA,Bhartiya Panchyat Party,156,Madhya Pradesh - SANCHI (SC)
2250,None of the Above,None of the Above,2519,Madhya Pradesh - SANCHI (SC)
2251,RAMPAL SINGH,Bharatiya Janata Party,64222,Madhya Pradesh - SILWANI
2252,DEVENDRA PATEL,Indian National Congress,57150,Madhya Pradesh - SILWANI
2253,NEELMANI SHAH (BABA SAHAB),Independent,16892,Madhya Pradesh - SILWANI
2254,GORI SINGH YADAV,Samajwadi Party,3606,Madhya Pradesh - SILWANI
2255,RAMRISHI,Independent,2018,Madhya Pradesh - SILWANI
2256,DINESH,Independent,1892,Madhya Pradesh - SILWANI
2257,BABU LAL PAHALWAN,Bahujan Samaj Party,1278,Madhya Pradesh - SILWANI
2258,RAMPAL SINGH,Independent,1175,Madhya Pradesh - SILWANI
2259,PRABHAT (PRATAP GIRI),Independent,1081,Madhya Pradesh - SILWANI
2260,PANCHAM AHIRVAR,Independent,791,Madhya Pradesh - SILWANI
2261,HARINARAYAN,Independent,764,Madhya Pradesh - SILWANI
2262,MUNSHI LAL SILAWAT,Bahujan Sangharshh Dal,606,Madhya Pradesh - SILWANI
2263,KHANGAR NIRBAY SINGH,Independent,555,Madhya Pradesh - SILWANI
2264,"MOHD TALAT KHAN ""TALAT""",Independent,453,Madhya Pradesh - SILWANI
2265,MUNNA,Independent,449,Madhya Pradesh - SILWANI
2266,ABDUL BAHEED KHAN,Sapaks Party,447,Madhya Pradesh - SILWANI
2267,SANGHARSH KUMAR SHARMA,Shiv Sena,412,Madhya Pradesh - SILWANI
2268,SANTOSH KUMAR RAGHUWANSHI,Aam Aadmi Party,356,Madhya Pradesh - SILWANI
2269,SUNEEL KUMAR,Independent,246,Madhya Pradesh - SILWANI
2270,None of the Above,None of the Above,675,Madhya Pradesh - SILWANI
2271,SHASHANK SHRIKRISHAN BHARGAVA,Indian National Congress,80332,Madhya Pradesh - VIDISHA 
2272,MUKESH TANDON,Bharatiya Janata Party,64878,Madhya Pradesh - VIDISHA 
2273,RAKESH SHARMA,Sapaks Party,2569,Madhya Pradesh - VIDISHA 
2274,SHAILENDRA JAIN,Bahujan Samaj Party,1028,Madhya Pradesh - VIDISHA 
2275,SANJAY SAINI,Independent,917,Madhya Pradesh - VIDISHA 
2276,ANUMA ACHARYA,Aam Aadmi Party,607,Madhya Pradesh - VIDISHA 
2277,MANOJ SHRIVASTAVA,Independent,253,Madhya Pradesh - VIDISHA 
2278,CHANDRA KUMAR (BALLU MAHARAJ),Independent,246,Madhya Pradesh - VIDISHA 
2279,DILEEP KUSHWAH,Independent,152,Madhya Pradesh - VIDISHA 
2280,NISHA SINGH PATEL,Bahujan Sangharshh Dal,141,Madhya Pradesh - VIDISHA 
2281,TH. TULSIRAM SINGH KARAKHEDI,Independent,132,Madhya Pradesh - VIDISHA 
2282,RAMKRISHNA AHIRWAR,Bahujan Mukti Party,89,Madhya Pradesh - VIDISHA 
2283,DARYAV SINGH AHIRWAR MOOCH WALE,Peoples Republican Party,83,Madhya Pradesh - VIDISHA 
2284,MOKAM SINGH PANTHI,Rashtriya Jankranti Party,75,Madhya Pradesh - VIDISHA 
2285,None of the Above,None of the Above,1492,Madhya Pradesh - VIDISHA 
2286,"LEENA SANJAY JAIN ""TAPPU""",Bharatiya Janata Party,73520,Madhya Pradesh - BASODA
2287,NISHANK KUMAR JAIN,Indian National Congress,63294,Madhya Pradesh - BASODA
2288,RAVINDRA SINGH RAGHUWANSHI,Sapaks Party,2529,Madhya Pradesh - BASODA
2289,CHETAN KUMAR AHIRWAR,Bahujan Samaj Party,1690,Madhya Pradesh - BASODA
2290,MASHKUR ALI,Independent,1003,Madhya Pradesh - BASODA
2291,MAHARAJ SINGH,Bahujan Sangharshh Dal,803,Madhya Pradesh - BASODA
2292,NEERAJ SAHU,Independent,751,Madhya Pradesh - BASODA
2293,RAJENDRA TIWARI,Aam Aadmi Party,398,Madhya Pradesh - BASODA
2294,HIMMAT SINGH KUSHWAH,Rashtriya Lok Samta Party,318,Madhya Pradesh - BASODA
2295,ROSHAN,Apna Dal (Soneylal),263,Madhya Pradesh - BASODA
2296,DEVENDRA SINGH,Independent,257,Madhya Pradesh - BASODA
2297,MAHESH KUMAR RAJORIYA,Bhartiya Panchyat Party,185,Madhya Pradesh - BASODA
2298,None of the Above,None of the Above,1220,Madhya Pradesh - BASODA
2299,HARI SINGH SAPRE,Bharatiya Janata Party,80264,Madhya Pradesh - KURWAI (SC)
2300,SUBHASH BOHAT ADVOCATE,Indian National Congress,63569,Madhya Pradesh - KURWAI (SC)
2301,AD. EMRAT LAL AHIRWAR,Bahujan Samaj Party,5212,Madhya Pradesh - KURWAI (SC)
2302,KHILAN SINGH JATAV,Sapaks Party,1309,Madhya Pradesh - KURWAI (SC)
2303,RAMCHARAN AHIRWAR,Aam Aadmi Party,1044,Madhya Pradesh - KURWAI (SC)
2304,UMAKAR,Independent,666,Madhya Pradesh - KURWAI (SC)
2305,BABU LAL PANTHI,Vishva SHakti Party,395,Madhya Pradesh - KURWAI (SC)
2306,MANSINGH AHIRWAR,Bahujan Sangharshh Dal,395,Madhya Pradesh - KURWAI (SC)
2307,None of the Above,None of the Above,1308,Madhya Pradesh - KURWAI (SC)
2308,UMAKANT SHARMA,Bharatiya Janata Party,83617,Madhya Pradesh - SIRONJ
2309,MASARRAT SHAHID,Indian National Congress,48883,Madhya Pradesh - SIRONJ
2310,ISEM SINGH MORYE,Bahujan Samaj Party,11408,Madhya Pradesh - SIRONJ
2311,HIMMAT SINGH,Independent,1735,Madhya Pradesh - SIRONJ
2312,SHISHU PAL YADAV,Independent,1101,Madhya Pradesh - SIRONJ
