,Candidate,Party,Votes,Constituency
713,BHAGWAN SINGH,Abhinav Rajasthan Party,212,Rajasthan - Vidhyadhar Nagar
714,KADAMBARI AGARWAL,Bhartiya Panchyat Party,132,Rajasthan - Vidhyadhar Nagar
715,MOIN KHAN,Independent,128,Rajasthan - Vidhyadhar Nagar
716,None of the Above,None of the Above,1774,Rajasthan - Vidhyadhar Nagar
717,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,87937,Rajasthan - Civil lines
718,ARUN CHATURVEDI,Bharatiya Janata Party,69859,Rajasthan - Civil lines
719,GULAB CHAND,Bahujan Samaj Party,944,Rajasthan - Civil lines
720,JAY PRAKASH BUNAKAR,Independent,648,Rajasthan - Civil lines
721,RAHIS AHMAD,Independent,626,Rajasthan - Civil lines
722,DEVENDRA SHASTRI,Aam Aadmi Party,468,Rajasthan - Civil lines
723,SALIM,Independent,386,Rajasthan - Civil lines
724,KAILASH CHAND,Hindustan Janta Party,360,Rajasthan - Civil lines
725,SWETA SHARMA,Bharat Vahini Party,217,Rajasthan - Civil lines
726,KAILASH PALAWAT,Independent,150,Rajasthan - Civil lines
727,BHARAT LAL,Independent,148,Rajasthan - Civil lines
728,BHUPENDRA KUMAR GAUTAM,Ambedkarite Party of India,130,Rajasthan - Civil lines
729,MOH. SABIR,Independent,130,Rajasthan - Civil lines
730,RAJESH SHARMA,Bhartiya Panchyat Party,119,Rajasthan - Civil lines
731,ANITA SAXENA,Independent,116,Rajasthan - Civil lines
732,HIMANSHU SAINI,Republican Party of India (A),114,Rajasthan - Civil lines
733,SANJEEV KUMAR GURJAR,Abhinav Rajasthan Party,107,Rajasthan - Civil lines
734,RAJENDRA MITTAL,Jago Party,68,Rajasthan - Civil lines
735,None of the Above,None of the Above,1744,Rajasthan - Civil lines
736,AMIN KAGZI,Indian National Congress,71189,Rajasthan - Kishan pole
737,MOHAN LAL GUPTA,Bharatiya Janata Party,62419,Rajasthan - Kishan pole
738,LALCHAND (LALU) SARASAR,Independent,1104,Rajasthan - Kishan pole
739,SUDEEP JAIN BAGDA,Aam Aadmi Party,929,Rajasthan - Kishan pole
740,BHARAT SHARMA,Independent,914,Rajasthan - Kishan pole
741,MO. UMAR,Independent,688,Rajasthan - Kishan pole
742,SANJIV VERMA (SONI),Communist Party of India,579,Rajasthan - Kishan pole
743,VISHNU JAISWAL,Bharat Vahini Party,557,Rajasthan - Kishan pole
744,KRISHAN KUMAR MAHARSHI,Independent,282,Rajasthan - Kishan pole
745,MOHAMMAD JAHANGIR,Independent,255,Rajasthan - Kishan pole
746,AZAM ALI KHAN,Independent,250,Rajasthan - Kishan pole
747,MOHAMMAD APHAROJ,Independent,224,Rajasthan - Kishan pole
748,CHARU GUPTA,National Unionist Zamindara Party,205,Rajasthan - Kishan pole
749,AABID HUSSAIN,Independent,201,Rajasthan - Kishan pole
750,NEETA MATHUR,Bharatiya Jan Kranti Dal (Democratic),181,Rajasthan - Kishan pole
751,GAURAV JAIN,Independent,165,Rajasthan - Kishan pole
752,NARESH JAYSWAL,Independent,121,Rajasthan - Kishan pole
753,PAWAN,Independent,98,Rajasthan - Kishan pole
754,ALIMUDIN,Independent,97,Rajasthan - Kishan pole
755,SUNIL KUMAR,Dalit Soshit Pichhara Varg  Adhikar Dal,91,Rajasthan - Kishan pole
756,RAFIK BHATI,Independent,91,Rajasthan - Kishan pole
757,HARISH BARI,Independent,90,Rajasthan - Kishan pole
758,PHAJAL AHMAD,Independent,88,Rajasthan - Kishan pole
759,RAKESH PAREEK,Independent,88,Rajasthan - Kishan pole
760,NAMAN SHARMA,Jago Party,73,Rajasthan - Kishan pole
761,MUKESH KUMAR SHARMA,Independent,71,Rajasthan - Kishan pole
762,ABDUL HAMEED AKRAM,Panch Party,70,Rajasthan - Kishan pole
763,SHANKAR LAL TIKKIWAL,Independent,60,Rajasthan - Kishan pole
764,BHAGCHAND,Independent,54,Rajasthan - Kishan pole
765,MANJU KHAN,Independent,52,Rajasthan - Kishan pole
766,CHAND,Independent,47,Rajasthan - Kishan pole
767,ARUN PARASHAR,Bharatiya Yuva Shakti,47,Rajasthan - Kishan pole
768,MO. AKRAM,Independent,43,Rajasthan - Kishan pole
769,RAJESH GUPTA,Independent,41,Rajasthan - Kishan pole
770,JAMIL AHAMAD,Independent,39,Rajasthan - Kishan pole
771,SATYAJIT SINHA,Independent,35,Rajasthan - Kishan pole
772,MANISH KUMAR CHAWARIYA,Independent,32,Rajasthan - Kishan pole
773,NAFEES KHAN,Independent,30,Rajasthan - Kishan pole
774,VINOD SHARMA,Independent,27,Rajasthan - Kishan pole
775,DEEPAK LALWANI,Independent,26,Rajasthan - Kishan pole
776,HARISH KUMAR,Independent,24,Rajasthan - Kishan pole
777,SHAKIL QURESHI,Independent,23,Rajasthan - Kishan pole
778,BABU KHAN MANYAR,Independent,21,Rajasthan - Kishan pole
779,RAMSWARUP,Independent,17,Rajasthan - Kishan pole
780,SADIK,Independent,10,Rajasthan - Kishan pole
781,SHAMIM KHAN,Independent,7,Rajasthan - Kishan pole
782,None of the Above,None of the Above,754,Rajasthan - Kishan pole
783,RAFEEK KHAN,Indian National Congress,88541,Rajasthan - Adarsh Nagar
784,ASHOK PARNAMI,Bharatiya Janata Party,75988,Rajasthan - Adarsh Nagar
785,SANDEEP SHARMA,Independent,1280,Rajasthan - Adarsh Nagar
786,JITENDRA KUMAR HATWAL,Aam Aadmi Party,1247,Rajasthan - Adarsh Nagar
787,KRISHAN KISHORE,Independent,1067,Rajasthan - Adarsh Nagar
788,PAWAN GAUR,Independent,865,Rajasthan - Adarsh Nagar
789,BABA ASHFAKUDDIN QURESHI,Independent,670,Rajasthan - Adarsh Nagar
790,FARMIDA BANO,Independent,634,Rajasthan - Adarsh Nagar
791,SANWAR LAL SHARMA,Bahujan Samaj Party,618,Rajasthan - Adarsh Nagar
792,INDER KUMAR CHOPRA,Bharat Vahini Party,174,Rajasthan - Adarsh Nagar
793,AMIT VYAS,Independent,165,Rajasthan - Adarsh Nagar
794,MOHASIN QURESHI,Independent,163,Rajasthan - Adarsh Nagar
795,LALCHAND SAINI,Independent,120,Rajasthan - Adarsh Nagar
796,MOHAMMAD NADEEM,Independent,114,Rajasthan - Adarsh Nagar
797,SHAKIL,Independent,113,Rajasthan - Adarsh Nagar
798,BADAMI DEVI,Independent,94,Rajasthan - Adarsh Nagar
799,MO. ABDULLA,Independent,88,Rajasthan - Adarsh Nagar
800,ABDUL SAEED,Indian Peoples Green Party,86,Rajasthan - Adarsh Nagar
801,AHSAN AHMAD ANSARI,Rashtriya Loktantrik Party,86,Rajasthan - Adarsh Nagar
802,ABDUL AZIZ (BABBIE),Independent,85,Rajasthan - Adarsh Nagar
803,INDERJEET KAUL,Shiv Sena,82,Rajasthan - Adarsh Nagar
804,YOGESH SHARMA,Independent,82,Rajasthan - Adarsh Nagar
805,NRASINGH PANDEY,Bharatiya Yuva Shakti,68,Rajasthan - Adarsh Nagar
806,SHAHABUDDIN,Bhartiya Panchyat Party,65,Rajasthan - Adarsh Nagar
807,MOINUDIN,Independent,65,Rajasthan - Adarsh Nagar
808,RIAZUDDIN,Independent,63,Rajasthan - Adarsh Nagar
809,MUJEEB KHAN,Jago Party,60,Rajasthan - Adarsh Nagar
810,WASIM AHMAD,Independent,59,Rajasthan - Adarsh Nagar
811,BADRI SINGH,Independent,46,Rajasthan - Adarsh Nagar
812,RAJNEESH GAUR,Independent,45,Rajasthan - Adarsh Nagar
813,RAJENDRA KUMAR BASWALA,Independent,45,Rajasthan - Adarsh Nagar
814,None of the Above,None of the Above,1493,Rajasthan - Adarsh Nagar
815,KALICHARAN SARAF,Bharatiya Janata Party,70221,Rajasthan - Malviya Nagar
816,DR. ARCHANA SHARMA,Indian National Congress,68517,Rajasthan - Malviya Nagar
817,DR. BHARAT LAL GUPTA,Aam Aadmi Party,888,Rajasthan - Malviya Nagar
818,SAROJ BAIRWA,Bahujan Samaj Party,619,Rajasthan - Malviya Nagar
819,DINESH MITTAL,Independent,485,Rajasthan - Malviya Nagar
820,RAJESH KUMAR SHARMA,Independent,471,Rajasthan - Malviya Nagar
821,ABHISHEK SANGHI ALIAS BITTU JAIN,Independent,295,Rajasthan - Malviya Nagar
822,PRADEEP KUMAR,Republican Party of India (A),211,Rajasthan - Malviya Nagar
823,SHANKAR LAL AGARWAL,Independent,211,Rajasthan - Malviya Nagar
824,KAPUR CHANDRA,Independent,191,Rajasthan - Malviya Nagar
825,KAPOOR CHAND BAIRWA,Independent,176,Rajasthan - Malviya Nagar
826,ALOK GUPTA,Bharat Vahini Party,173,Rajasthan - Malviya Nagar
827,BHAGWAN DAS ALIAS NARESH SARSOP,Janata Dal  (United),161,Rajasthan - Malviya Nagar
828,SANGRAM SINGH NATHAWAT,Independent,130,Rajasthan - Malviya Nagar
829,TRILOK TIWARI,Jago Party,124,Rajasthan - Malviya Nagar
830,RAVI KUMAR VERMA (MEGHWAL),Ambedkarite Party of India,112,Rajasthan - Malviya Nagar
831,SAMAY SINGH,Bhartiya Kisan Party,93,Rajasthan - Malviya Nagar
832,HARISH BAIRWA,Independent,84,Rajasthan - Malviya Nagar
833,SUKHDEV SHARMA,Independent,78,Rajasthan - Malviya Nagar
834,KANHAIYA LAKHERA,Bharatiya Yuva Shakti,66,Rajasthan - Malviya Nagar
835,SHILA CHOUDHARY,Peoples Party of India (Democratic),62,Rajasthan - Malviya Nagar
836,DR. SANTOSH KUMAR AGARWAL,Independent,42,Rajasthan - Malviya Nagar
837,None of the Above,None of the Above,2371,Rajasthan - Malviya Nagar
838,ASHOK LAHOTY,Bharatiya Janata Party,107947,Rajasthan - Sanganer
839,PUSHPENDRA BHARDWAJ,Indian National Congress,72542,Rajasthan - Sanganer
840,GHANSHYAM TIWARI,Bharat Vahini Party,17371,Rajasthan - Sanganer
841,RAMESH PRAJAPAT,Dalit Soshit Pichhara Varg  Adhikar Dal,1081,Rajasthan - Sanganer
842,JAWAHAR SHARMA,Aam Aadmi Party,1010,Rajasthan - Sanganer
843,RAVI PRAKASH,Hindustan Shakti Sena,1009,Rajasthan - Sanganer
844,RAMESH CHANDRA MATHUR,Independent,794,Rajasthan - Sanganer
845,SITARAM SIGHADIA,Bahujan Samaj Party,779,Rajasthan - Sanganer
846,DR. M.P. GOYAL,Bharatiya Rashtravadi Samanta Party,773,Rajasthan - Sanganer
847,GAJANAND GUPTA,Abhinav Rajasthan Party,584,Rajasthan - Sanganer
848,MUKESH KUMAR SHARMA,Indian Peoples Green Party,365,Rajasthan - Sanganer
849,SURESH SAINI,Independent,349,Rajasthan - Sanganer
850,RAMAVTAR SAINI,Bhartiya Jan Satta Party,303,Rajasthan - Sanganer
851,SUNIL SHARMA,Jago Party,213,Rajasthan - Sanganer
852,BADRI PRASAD DHAKA,Swaraj India,209,Rajasthan - Sanganer
853,KRISHANDEEP,Sarvshakti Dal,191,Rajasthan - Sanganer
854,DR.LILA VYAS,Independent,170,Rajasthan - Sanganer
855,PARVEEN BANO,Communist Party of India  (Marxist-Leninist)  (Liberation),169,Rajasthan - Sanganer
856,ABHINAV CHATURVEDI,Naya Bharat Party,157,Rajasthan - Sanganer
857,GULSHAN BAGHLA,Bhartiya Panchyat Party,153,Rajasthan - Sanganer
858,VISHRAM SINGH MEENA,Peoples Party of India (Democratic),152,Rajasthan - Sanganer
859,KALU RAM SAHU,Shiv Sena,152,Rajasthan - Sanganer
860,RAMLAL DHANKA,Independent,144,Rajasthan - Sanganer
861,AMAR SINGH CHOUDHARY,Bhartiya Jan Hitkari Party,134,Rajasthan - Sanganer
862,CHANDRAVEER SINGH RAJAWAT,Independent,122,Rajasthan - Sanganer
863,SURENDRA KUMAWAT,Independent,121,Rajasthan - Sanganer
864,GYANENDRA TIWARI,Nationalist People's Front,100,Rajasthan - Sanganer
865,BABITA WADHWANI,Independent,88,Rajasthan - Sanganer
866,KAILASH KHANDELWAL,Independent,65,Rajasthan - Sanganer
867,None of the Above,None of the Above,2325,Rajasthan - Sanganer
868,GANGA DEVI,Indian National Congress,96635,Rajasthan - Bagru 
869,KAILASH CHAND VERMA,Bharatiya Janata Party,91292,Rajasthan - Bagru 
870,DINESH RAI BHATI,Rashtriya Loktantrik Party,15796,Rajasthan - Bagru 
871,K.L.PANWAR,Bahujan Samaj Party,1590,Rajasthan - Bagru 
872,MAHESH NARANIA,Independent,1202,Rajasthan - Bagru 
873,JAGDISH PRASAD NAINAWAT,Aam Aadmi Party,971,Rajasthan - Bagru 
874,TEEKAM CHAND,Bharatiya Yuva Shakti,715,Rajasthan - Bagru 
875,DOLAT RAM,Janata Dal  (United),671,Rajasthan - Bagru 
876,GOMA SAGAR RAIGAR,Independent,612,Rajasthan - Bagru 
877,MUKESH KUMAR MAHARDA,Bharat Vahini Party,571,Rajasthan - Bagru 
878,YOGESH,Bharatiya Rashtravadi Samanta Party,455,Rajasthan - Bagru 
879,HIMANSHU VERMA,Abhinav Rajasthan Party,331,Rajasthan - Bagru 
880,RAVI VEDWAL,Peoples Party of India (Democratic),313,Rajasthan - Bagru 
881,MEGH LAL,Republican Party of India (A),302,Rajasthan - Bagru 
882,BHANU KHORWAL,Indian Peoples Green Party,186,Rajasthan - Bagru 
883,None of the Above,None of the Above,4203,Rajasthan - Bagru 
884,LAXMAN MEENA,Independent,79878,Rajasthan - Bassi 
885,KANHAIYALAL,Bharatiya Janata Party,37114,Rajasthan - Bassi 
886,ANJU DEVI DHANKA,Independent,25207,Rajasthan - Bassi 
887,DAULAT SINGH MEENA,Indian National Congress,15626,Rajasthan - Bassi 
888,AVANTI MEENA,Independent,2197,Rajasthan - Bassi 
889,RAKESH KUMAR,Bahujan Samaj Party,1994,Rajasthan - Bassi 
890,RAMSWAROOP MEENA,Independent,1310,Rajasthan - Bassi 
891,RAJENDRA KUMAR MEENA,Rashtriya Loktantrik Party,902,Rajasthan - Bassi 
892,LADU RAM HOTALA,Independent,810,Rajasthan - Bassi 
893,DHAN SINGH,Jan Adhikar Party,682,Rajasthan - Bassi 
894,SANGRAM SINGH BHEEL,Bharatiya Rashtravadi Samanta Party,447,Rajasthan - Bassi 
895,PREM DEVI,Ambedkarite Party of India,380,Rajasthan - Bassi 
896,SHEELA MEENA,Bharat Vahini Party,314,Rajasthan - Bassi 
897,RAJESH KUMAR MEENA,Nationalist People's Front,197,Rajasthan - Bassi 
898,RAMPRAKASH MEENA,Aam Aadmi Party,142,Rajasthan - Bassi 
899,None of the Above,None of the Above,1558,Rajasthan - Bassi 
900,VED PRAKASH SOLANKI,Indian National Congress,70007,Rajasthan - Chaksu   
901,RAMAVATAR BAIRWA,Bharatiya Janata Party,66576,Rajasthan - Chaksu   
902,HEMANT VIJAY,Rashtriya Loktantrik Party,16706,Rajasthan - Chaksu   
903,JEETRAM BAIRWA,Ambedkarite Party of India,1695,Rajasthan - Chaksu   
904,SHRIKANT KAUSHAL,Bharatiya Yuva Shakti,1252,Rajasthan - Chaksu   
905,RAJESH KUMAR BAIRWA,Aam Aadmi Party,748,Rajasthan - Chaksu   
906,None of the Above,None of the Above,1893,Rajasthan - Chaksu   
907,SANDEEP KUMAR,Bahujan Samaj Party,59468,Rajasthan - Tijara
908,AIMADUDDIN AHMAD KHAN URF DURRU MIAN,Indian National Congress,55011,Rajasthan - Tijara
909,SANDEEP DAYMA,Bharatiya Janata Party,41345,Rajasthan - Tijara
910,FAZAL HUSSAIN,Samajwadi Party,22189,Rajasthan - Tijara
911,RAMVIR AHIRWAL,Independent,1977,Rajasthan - Tijara
912,MUKESH KUMAR,Aam Aadmi Party,616,Rajasthan - Tijara
913,HOSIYAR,Independent,519,Rajasthan - Tijara
914,AMEEN,Bharatiya Yuva Shakti,315,Rajasthan - Tijara
915,SURENDRA,Loktantrik Janta Dal,270,Rajasthan - Tijara
916,SARITA SINGH,Akhand Samta Party,256,Rajasthan - Tijara
917,JAGMAL SINGH,Independent,248,Rajasthan - Tijara
918,RAMKRIPAL YADAV,Independent,195,Rajasthan - Tijara
919,LAXMI,Rashtriya Loktantrik Party,179,Rajasthan - Tijara
920,SAHID HUSSAIN,Abhinav Rajasthan Party,84,Rajasthan - Tijara
921,None of the Above,None of the Above,856,Rajasthan - Tijara
922,DEEPCHAND,Bahujan Samaj Party,73799,Rajasthan - Kishangarh bas
923,RAMHET SINGH YADAV,Bharatiya Janata Party,63883,Rajasthan - Kishangarh bas
924,DR. KARAN SINGH YADAV,Indian National Congress,39033,Rajasthan - Kishangarh bas
925,JAGDISH CHANDRA,Abhinav Rajasthan Party,691,Rajasthan - Kishangarh bas
926,SUBEDIN,Aam Aadmi Party,680,Rajasthan - Kishangarh bas
927,SAHABUDDIN KHAN,Bharatiya Yuva Shakti,424,Rajasthan - Kishangarh bas
928,None of the Above,None of the Above,980,Rajasthan - Kishangarh bas
929,MANJEET DHARAMPAL CHOUDHARY,Bharatiya Janata Party,73191,Rajasthan - Mundawar
930,LALIT YADAV,Bahujan Samaj Party,55589,Rajasthan - Mundawar
931,BHARAT YADAV,Loktantrik Janta Dal,21852,Rajasthan - Mundawar
932,ROHITASH,Independent,1608,Rajasthan - Mundawar
933,SHISHRAM CHHAWDY,Independent,1392,Rajasthan - Mundawar
934,SANJAY SINGH,Akhand Samta Party,1392,Rajasthan - Mundawar
935,DR. RAKESH KUMAR JAT,Independent,828,Rajasthan - Mundawar
936,JAYVEER SINGH CHOUHAN,Independent,598,Rajasthan - Mundawar
937,ARUN KUMAR,Bhartiya Panchyat Party,579,Rajasthan - Mundawar
938,RAJU,Independent,561,Rajasthan - Mundawar
939,SURESH KUMAR,Independent,549,Rajasthan - Mundawar
940,RAMNATH MEGHWAL,Ambedkarite Party of India,328,Rajasthan - Mundawar
941,AMAR PAL SINGH,Independent,326,Rajasthan - Mundawar
942,SURAJBHAN YADAV,Independent,265,Rajasthan - Mundawar
943,BHUPENDRA SINGH,Nationalist People's Front,264,Rajasthan - Mundawar
944,HARISINGH SHARMA,Independent,258,Rajasthan - Mundawar
945,KAMALJEET,Aam Aadmi Party,241,Rajasthan - Mundawar
946,VIJAY KUMAR,Republican Party of India (A),180,Rajasthan - Mundawar
947,JAKIR HUSAIN,Bharatiya Yuva Shakti,164,Rajasthan - Mundawar
948,ANAND YADAV,Independent,145,Rajasthan - Mundawar
949,ANIL KUMAR SINDHI,Independent,144,Rajasthan - Mundawar
950,SHANTANU KUMAR,Bharat Vahini Party,64,Rajasthan - Mundawar
951,None of the Above,None of the Above,400,Rajasthan - Mundawar
952,BALJEET YADAV,Independent,55160,Rajasthan - Behror
953,RAMCHANDRA YADAV,Indian National Congress,51324,Rajasthan - Behror
954,MOHIT YADAV,Bharatiya Janata Party,37755,Rajasthan - Behror
955,JASRAM,Bahujan Samaj Party,12433,Rajasthan - Behror
956,ASHA,Aam Aadmi Party,842,Rajasthan - Behror
957,KHAMOSH DEVI,Independent,823,Rajasthan - Behror
958,MUKESH KUMAR SHARMA,Bharat Vahini Party,724,Rajasthan - Behror
959,MAHENDRA SINGH,Janata Dal  (United),378,Rajasthan - Behror
960,GAJRAJ SINGH YADAV,Abhinav Rajasthan Party,252,Rajasthan - Behror
961,None of the Above,None of the Above,1246,Rajasthan - Behror
962,SHAKUNTALA RAWAT,Indian National Congress,65656,Rajasthan - Bansur
963,DEVI SINGH SHEKHAWAT,Independent,47736,Rajasthan - Bansur
964,MAHENDRA KUMAR YADAV,Bharatiya Janata Party,44226,Rajasthan - Bansur
965,MUKESH,Samajwadi Party,3122,Rajasthan - Bansur
966,OMPRAKASH,Bahujan Samaj Party,1442,Rajasthan - Bansur
967,JALE SINGH,Independent,1426,Rajasthan - Bansur
968,OMPRAKASH GURJAR,Abhinav Rajasthan Party,992,Rajasthan - Bansur
969,MEERA BAI,Rashtriya Loktantrik Party,556,Rajasthan - Bansur
970,ASHOK SINGH CHAUHAN,Independent,457,Rajasthan - Bansur
971,KULDEEP SHARMA,Bharat Vahini Party,312,Rajasthan - Bansur
972,POORAN MAL GURJAR,Nationalist People's Front,305,Rajasthan - Bansur
973,GHANSHYAM,Loktantrik Janta Dal,255,Rajasthan - Bansur
974,None of the Above,None of the Above,1966,Rajasthan - Bansur
975,KANTI PRASAD,Independent,64079,Rajasthan - Thanagazi
976,HEM SINGH,Independent,34729,Rajasthan - Thanagazi
977,ROHITASH KUMAR,Bharatiya Janata Party,22735,Rajasthan - Thanagazi
978,SUNIL KUMAR,Indian National Congress,22637,Rajasthan - Thanagazi
979,KULDEEP SHARMA,Independent,4702,Rajasthan - Thanagazi
980,RAM CHARAN KOLI,Independent,1565,Rajasthan - Thanagazi
981,KAILASH,Bahujan Samaj Party,1309,Rajasthan - Thanagazi
982,MANISH JAIN,Aam Aadmi Party,1033,Rajasthan - Thanagazi
983,DR. MADAN RAJORIA,Bahujan Mukti Party,975,Rajasthan - Thanagazi
984,NIRMAL PRASHAD,Bharat Vahini Party,530,Rajasthan - Thanagazi
985,BABULAL MEENA,Bharatiya Yuva Shakti,366,Rajasthan - Thanagazi
986,None of the Above,None of the Above,1278,Rajasthan - Thanagazi
987,TIKA RAM JULLY,Indian National Congress,85752,Rajasthan - Alwar Rural
988,MASTER RAMKISHAN,Bharatiya Janata Party,59275,Rajasthan - Alwar Rural
989,RINKY VERMA,Bahujan Samaj Party,25379,Rajasthan - Alwar Rural
990,BISHAN LAL,Independent,491,Rajasthan - Alwar Rural
991,SAWAINATH SAPERA,Bharatiya Rashtravadi Samanta Party,470,Rajasthan - Alwar Rural
992,RAJENDRA PRASAD DOCHANIA,Independent,439,Rajasthan - Alwar Rural
993,MANISH,Aam Aadmi Party,313,Rajasthan - Alwar Rural
994,RAMBABU  BASWAL (KHATIK),Bharatiya Yuva Shakti,275,Rajasthan - Alwar Rural
995,KANHAIYA LAL JATAV,Bharat Vahini Party,249,Rajasthan - Alwar Rural
996,MASTER SHYAM LAL,Samajwadi Party,208,Rajasthan - Alwar Rural
997,JEETU JATAV,Lok Jan Shakti Party,159,Rajasthan - Alwar Rural
998,PREM CHAND JATAV,Shiv Sena,157,Rajasthan - Alwar Rural
999,DIPENDRA ARYA,Abhinav Rajasthan Party,103,Rajasthan - Alwar Rural
1000,None of the Above,None of the Above,1236,Rajasthan - Alwar Rural
1001,SANJAY SHARMA,Bharatiya Janata Party,85041,Rajasthan - Alwar Urban
1002,SHWETA SAINI,Indian National Congress,63033,Rajasthan - Alwar Urban
1003,TARA SINGH,Bahujan Samaj Party,6370,Rajasthan - Alwar Urban
1004,AJAY KUMAR PUNIYA,Aam Aadmi Party,3507,Rajasthan - Alwar Urban
1005,NAVJOT SINGH BHAMLOT,Abhinav Rajasthan Party,2706,Rajasthan - Alwar Urban
1006,C.A. SHRIKISHAN GUPTA,Shiv Sena,1727,Rajasthan - Alwar Urban
1007,TEJPAL SAINI,Communist Party of India,738,Rajasthan - Alwar Urban
1008,KAPIL JASAIWAL,Independent,513,Rajasthan - Alwar Urban
1009,BHAGCHAND,Akhil Bharat Hindu Mahasabha,490,Rajasthan - Alwar Urban
1010,AMAR CHAND MINA,Independent,478,Rajasthan - Alwar Urban
1011,RAMESH CHAND SINGHAL,National Unionist Zamindara Party,341,Rajasthan - Alwar Urban
1012,ANAND KUMAR SAIN,Independent,259,Rajasthan - Alwar Urban
1013,RAJAN GUPTA,Bharat Vahini Party,243,Rajasthan - Alwar Urban
1014,RAHUL KUMAR GUPTA,Independent,167,Rajasthan - Alwar Urban
1015,PREM KUMAR VERMA,Ambedkarite Party of India,160,Rajasthan - Alwar Urban
1016,SHOBHARAM,Bharatiya Yuva Shakti,120,Rajasthan - Alwar Urban
1017,MAHESH CHAND SHARMA,Jago Party,74,Rajasthan - Alwar Urban
1018,None of the Above,None of the Above,1081,Rajasthan - Alwar Urban
1019,JOHARI LAL MEENA,Indian National Congress,82876,Rajasthan - Rajgarh laxmangarh 
1020,VIJAY SAMARTH LAL,Bharatiya Janata Party,52578,Rajasthan - Rajgarh laxmangarh 
1021,BANNA RAM MEENA,Bahujan Samaj Party,28199,Rajasthan - Rajgarh laxmangarh 
1022,SURAJ BHAN DHANKA,Samajwadi Party,2464,Rajasthan - Rajgarh laxmangarh 
1023,LAXMINARAYAN,Independent,1173,Rajasthan - Rajgarh laxmangarh 
1024,MEENAKSHI MEENA,Bharatiya Rashtravadi Samanta Party,544,Rajasthan - Rajgarh laxmangarh 
1025,JASRAM MEENA JHALATALA,Bharatiya Yuva Shakti,492,Rajasthan - Rajgarh laxmangarh 
1026,MAHENDER MEENA,Aam Aadmi Party,390,Rajasthan - Rajgarh laxmangarh 
1027,RAMOTAR MEENA,Independent,386,Rajasthan - Rajgarh laxmangarh 
1028,BEENA DEVI,Nationalist People's Front,173,Rajasthan - Rajgarh laxmangarh 
1029,DHARM SINGH DHANKA,Gondvana Gantantra Party,151,Rajasthan - Rajgarh laxmangarh 
1030,None of the Above,None of the Above,1222,Rajasthan - Rajgarh laxmangarh 
1031,BABULAL,Indian National Congress,54110,Rajasthan - Kathumar 
1032,BABULAL MANAGER,Bharatiya Janata Party,39942,Rajasthan - Kathumar 
1033,RAMESH KHINCHI,Independent,32916,Rajasthan - Kathumar 
1034,NARSEE KUMAR KIRAD,Rashtriya Loktantrik Party,10846,Rajasthan - Kathumar 
1035,ISWAR SINGH,Bahujan Samaj Party,2332,Rajasthan - Kathumar 
1036,ROOP NARAIN NAGAR,Independent,1626,Rajasthan - Kathumar 
1037,BABULAL,Independent,1304,Rajasthan - Kathumar 
1038,MONU RAM KOLI,Bharatiya Rashtravadi Samanta Party,628,Rajasthan - Kathumar 
1039,GIRVAR SINGH,Bharatiya Yuva Shakti,615,Rajasthan - Kathumar 
1040,VINOD,Ambedkarite Party of India,232,Rajasthan - Kathumar 
1041,None of the Above,None of the Above,1071,Rajasthan - Kathumar 
1042,ZAHIDA KHAN,Indian National Congress,110789,Rajasthan - Kaman
1043,JAWAHAR SINGH BEADHAM,Bharatiya Janata Party,71168,Rajasthan - Kaman
1044,ISHWARI DAYAL,Bahujan Samaj Party,3808,Rajasthan - Kaman
1045,MAKSOOD KHAN,Independent,1907,Rajasthan - Kaman
1046,BAL KISHAN,Aam Aadmi Party,897,Rajasthan - Kaman
1047,RAMESH CHAND KHURANA,Independent,503,Rajasthan - Kaman
1048,JAIKAM ALI,Independent,258,Rajasthan - Kaman
1049,RAKESH KUMAR,Loktantrik Janta Dal,187,Rajasthan - Kaman
1050,ANAAND SWAROOP,Independent,132,Rajasthan - Kaman
1051,SHYAM SUNDAR URF SHYAM,Bharatiya Yuva Shakti,102,Rajasthan - Kaman
1052,None of the Above,None of the Above,1127,Rajasthan - Kaman
1053,WAJIB ALI,Bahujan Samaj Party,62644,Rajasthan - Nagar
1054,NEM SINGH,Samajwadi Party,37177,Rajasthan - Nagar
1055,ANITA SINGH,Bharatiya Janata Party,34946,Rajasthan - Nagar
1056,MURARI LAL,Indian National Congress,31678,Rajasthan - Nagar
1057,TEK CHAND,Loktantrik Janta Dal,1274,Rajasthan - Nagar
1058,MAHAVEER,Ambedkarite Party of India,780,Rajasthan - Nagar
1059,RAVI KUMAR,Independent,723,Rajasthan - Nagar
1060,RAMESHWAR SINGH,Independent,273,Rajasthan - Nagar
1061,PREM CHAND,Abhinav Rajasthan Party,250,Rajasthan - Nagar
1062,BISHAMBAR DAYAL,Independent,214,Rajasthan - Nagar
1063,SANTRAM,Bharatiya Yuva Shakti,170,Rajasthan - Nagar
1064,None of the Above,None of the Above,1034,Rajasthan - Nagar
1065,VISHVENDRA SINGH,Indian National Congress,73730,Rajasthan - Deeg-kumher
1066,DR. SHAILESH SINGH,Bharatiya Janata Party,65512,Rajasthan - Deeg-kumher
1067,PRATAP SINGH SINSINWAR MAHARAWAR,Bahujan Samaj Party,20026,Rajasthan - Deeg-kumher
